"","wkkey","prodkey","choice","avaind","brand2","brand3","brand4","price"
"362",180,2,68,1,1,0,0,5
"363",180,3,0,0,0,1,0,6
"364",180,4,49,1,0,0,1,4
"365",181,1,5,1,0,0,0,6
"366",181,2,485,1,1,0,0,2
"367",181,3,0,0,0,1,0,3
"368",181,4,10,1,0,0,1,4
"369",182,1,54,1,0,0,0,4
"370",182,2,0,0,1,0,0,6
"371",182,3,35,1,0,1,0,5
"372",182,4,411,1,0,0,1,3
"373",183,1,40,1,0,0,0,3
"374",183,2,30,1,1,0,0,6
"375",183,3,430,1,0,1,0,2
"376",183,4,0,0,0,0,1,4
"377",184,1,2,1,0,0,0,6
"378",184,2,492,1,1,0,0,2
"379",184,3,0,0,0,1,0,3
"380",184,4,6,1,0,0,1,5
"381",185,1,376,1,0,0,0,2
"382",185,2,36,1,1,0,0,6
"383",185,3,88,1,0,1,0,3
"384",185,4,0,0,0,0,1,4
"385",186,1,32,1,0,0,0,3
"386",186,2,69,1,1,0,0,4
"387",186,3,399,1,0,1,0,2
"388",186,4,0,0,0,0,1,5
"389",187,1,0,0,0,0,0,5
"390",187,2,475,1,1,0,0,2
"391",187,3,22,1,0,1,0,4
"392",187,4,3,1,0,0,1,6
"393",188,1,0,0,0,0,0,5
"394",188,2,444,1,1,0,0,3
"395",188,3,11,1,0,1,0,6
"396",188,4,45,1,0,0,1,4
"397",189,1,6,1,0,0,0,5
"398",189,2,107,1,1,0,0,3
"399",189,3,0,0,0,1,0,6
"400",189,4,387,1,0,0,1,2
"405",190,1,9,1,0,0,0,6
"406",190,2,480,1,1,0,0,2
"407",190,3,0,0,0,1,0,5
"408",190,4,11,1,0,0,1,4
"409",191,1,45,1,0,0,0,3
"410",191,2,28,1,1,0,0,6
"411",191,3,427,1,0,1,0,2
"412",191,4,0,0,0,0,1,4
"413",192,1,0,0,0,0,0,4
"414",192,2,45,1,1,0,0,6
"415",192,3,434,1,0,1,0,3
"416",192,4,21,1,0,0,1,5
"417",193,1,6,1,0,0,0,6
"418",193,2,483,1,1,0,0,3
"419",193,3,0,0,0,1,0,2
"420",193,4,11,1,0,0,1,5
"421",194,1,3,1,0,0,0,6
"422",194,2,482,1,1,0,0,2
"423",194,3,0,0,0,1,0,3
"424",194,4,15,1,0,0,1,4
"425",195,1,0,0,0,0,0,5
"426",195,2,47,1,1,0,0,6
"427",195,3,52,1,0,1,0,4
"428",195,4,401,1,0,0,1,3
"429",196,1,36,1,0,0,0,4
"430",196,2,0,0,1,0,0,3
"431",196,3,22,1,0,1,0,5
"432",196,4,442,1,0,0,1,2
"433",197,1,373,1,0,0,0,4
"434",197,2,65,1,1,0,0,6
"435",197,3,0,0,0,1,0,3
"436",197,4,62,1,0,0,1,5
"437",198,1,17,1,0,0,0,6
"438",198,2,0,0,1,0,0,4
"439",198,3,458,1,0,1,0,3
"440",198,4,25,1,0,0,1,5
"441",199,1,0,0,0,0,0,4
"442",199,2,101,1,1,0,0,3
"443",199,3,395,1,0,1,0,2
"444",199,4,4,1,0,0,1,6
"453",200,1,383,1,0,0,0,2
"454",200,2,54,1,1,0,0,5
"455",200,3,0,0,0,1,0,6
"456",200,4,63,1,0,0,1,3
"457",201,1,0,0,0,0,0,3
"458",201,2,31,1,1,0,0,6
"459",201,3,39,1,0,1,0,4
"460",201,4,430,1,0,0,1,2
"461",202,1,426,1,0,0,0,2
"462",202,2,43,1,1,0,0,6
"463",202,3,0,0,0,1,0,5
"464",202,4,31,1,0,0,1,4
"465",203,1,0,0,0,0,0,4
"466",203,2,24,1,1,0,0,6
"467",203,3,430,1,0,1,0,2
"468",203,4,46,1,0,0,1,3
"469",204,1,47,1,0,0,0,3
"470",204,2,0,0,1,0,0,6
"471",204,3,42,1,0,1,0,4
"472",204,4,411,1,0,0,1,2
"473",205,1,379,1,0,0,0,3
"474",205,2,66,1,1,0,0,5
"475",205,3,55,1,0,1,0,4
"476",205,4,0,0,0,0,1,6
"477",206,1,0,0,0,0,0,5
"478",206,2,31,1,1,0,0,6
"479",206,3,443,1,0,1,0,2
"480",206,4,26,1,0,0,1,4
"481",207,1,0,0,0,0,0,5
"482",207,2,450,1,1,0,0,2
"483",207,3,18,1,0,1,0,4
"484",207,4,32,1,0,0,1,3
"485",208,1,1,1,0,0,0,6
"486",208,2,468,1,1,0,0,2
"487",208,3,0,0,0,1,0,4
"488",208,4,31,1,0,0,1,3
"489",209,1,21,1,0,0,0,5
"490",209,2,0,0,1,0,0,4
"491",209,3,26,1,0,1,0,6
"492",209,4,453,1,0,0,1,3
"497",210,1,7,1,0,0,0,5
"498",210,2,94,1,1,0,0,3
"499",210,3,399,1,0,1,0,2
"500",210,4,0,0,0,0,1,4
"501",211,1,44,1,0,0,0,4
"502",211,2,0,0,1,0,0,3
"503",211,3,13,1,0,1,0,6
"504",211,4,443,1,0,0,1,2
"505",212,1,41,1,0,0,0,5
"506",212,2,57,1,1,0,0,6
"507",212,3,0,0,0,1,0,3
"508",212,4,402,1,0,0,1,4
"509",213,1,36,1,0,0,0,3
"510",213,2,45,1,1,0,0,5
"511",213,3,419,1,0,1,0,2
"512",213,4,0,0,0,0,1,4
"513",214,1,28,1,0,0,0,5
"514",214,2,0,0,1,0,0,2
"515",214,3,24,1,0,1,0,6
"516",214,4,448,1,0,0,1,3
"517",215,1,426,1,0,0,0,2
"518",215,2,39,1,1,0,0,6
"519",215,3,0,0,0,1,0,3
"520",215,4,35,1,0,0,1,4
"521",216,1,356,1,0,0,0,2
"522",216,2,129,1,1,0,0,3
"523",216,3,0,0,0,1,0,5
"524",216,4,15,1,0,0,1,4
"525",217,1,0,0,0,0,0,5
"526",217,2,103,1,1,0,0,3
"527",217,3,21,1,0,1,0,4
"528",217,4,376,1,0,0,1,2
"529",218,1,8,1,0,0,0,6
"530",218,2,451,1,1,0,0,3
"531",218,3,0,0,0,1,0,2
"532",218,4,41,1,0,0,1,4
"533",219,1,418,1,0,0,0,2
"534",219,2,52,1,1,0,0,5
"535",219,3,30,1,0,1,0,4
"536",219,4,0,0,0,0,1,3
"541",220,1,9,1,0,0,0,4
"542",220,2,485,1,1,0,0,2
"543",220,3,0,0,0,1,0,5
"544",220,4,6,1,0,0,1,6
"545",221,1,4,1,0,0,0,6
"546",221,2,478,1,1,0,0,3
"547",221,3,18,1,0,1,0,5
"548",221,4,0,0,0,0,1,2
"549",222,1,421,1,0,0,0,3
"550",222,2,48,1,1,0,0,6
"551",222,3,31,1,0,1,0,5
"552",222,4,0,0,0,0,1,2
"553",223,1,380,1,0,0,0,3
"554",223,2,0,0,1,0,0,2
"555",223,3,47,1,0,1,0,5
"556",223,4,73,1,0,0,1,4
"557",224,1,0,0,0,0,0,2
"558",224,2,99,1,1,0,0,4
"559",224,3,388,1,0,1,0,3
"560",224,4,13,1,0,0,1,6
"561",225,1,433,1,0,0,0,2
"562",225,2,0,0,1,0,0,3
"563",225,3,32,1,0,1,0,5
"564",225,4,35,1,0,0,1,4
"565",226,1,6,1,0,0,0,5
"566",226,2,452,1,1,0,0,2
"567",226,3,0,0,0,1,0,6
"568",226,4,42,1,0,0,1,3
"569",227,1,0,0,0,0,0,5
"570",227,2,40,1,1,0,0,6
"571",227,3,34,1,0,1,0,4
"572",227,4,426,1,0,0,1,2
"573",228,1,0,0,0,0,0,6
"574",228,2,50,1,1,0,0,4
"575",228,3,405,1,0,1,0,2
"576",228,4,45,1,0,0,1,3
"577",229,1,17,1,0,0,0,5
"578",229,2,46,1,1,0,0,6
"579",229,3,0,0,0,1,0,4
"580",229,4,437,1,0,0,1,2
"585",230,1,7,1,0,0,0,4
"586",230,2,455,1,1,0,0,2
"587",230,3,0,0,0,1,0,6
"588",230,4,38,1,0,0,1,3
"589",231,1,0,0,0,0,0,4
"590",231,2,478,1,1,0,0,3
"591",231,3,13,1,0,1,0,6
"592",231,4,9,1,0,0,1,5
"593",232,1,7,1,0,0,0,6
"594",232,2,0,0,1,0,0,4
"595",232,3,37,1,0,1,0,5
"596",232,4,456,1,0,0,1,2
"597",233,1,370,1,0,0,0,2
"598",233,2,80,1,1,0,0,4
"599",233,3,0,0,0,1,0,6
"600",233,4,50,1,0,0,1,3
"601",234,1,0,0,0,0,0,3
"602",234,2,32,1,1,0,0,6
"603",234,3,23,1,0,1,0,5
"604",234,4,445,1,0,0,1,2
"605",235,1,57,1,0,0,0,3
"606",235,2,0,0,1,0,0,5
"607",235,3,419,1,0,1,0,2
"608",235,4,24,1,0,0,1,4
"609",236,1,16,1,0,0,0,5
"610",236,2,43,1,1,0,0,6
"611",236,3,0,0,0,1,0,4
"612",236,4,441,1,0,0,1,2
"613",237,1,4,1,0,0,0,5
"614",237,2,488,1,1,0,0,2
"615",237,3,0,0,0,1,0,6
"616",237,4,8,1,0,0,1,4
"617",238,1,0,0,0,0,0,6
"618",238,2,68,1,1,0,0,4
"619",238,3,22,1,0,1,0,5
"620",238,4,410,1,0,0,1,2
"621",239,1,383,1,0,0,0,4
"622",239,2,61,1,1,0,0,6
"623",239,3,0,0,0,1,0,2
"624",239,4,56,1,0,0,1,5
"629",240,1,15,1,0,0,0,5
"630",240,2,0,0,1,0,0,2
"631",240,3,437,1,0,1,0,3
"632",240,4,48,1,0,0,1,4
"633",241,1,423,1,0,0,0,2
"634",241,2,45,1,1,0,0,6
"635",241,3,32,1,0,1,0,4
"636",241,4,0,0,0,0,1,3
"637",242,1,0,0,0,0,0,2
"638",242,2,449,1,1,0,0,3
"639",242,3,46,1,0,1,0,4
"640",242,4,5,1,0,0,1,6
"641",243,1,0,0,0,0,0,6
"642",243,2,78,1,1,0,0,4
"643",243,3,8,1,0,1,0,5
"644",243,4,414,1,0,0,1,2
"645",244,1,395,1,0,0,0,2
"646",244,2,0,0,1,0,0,4
"647",244,3,90,1,0,1,0,3
"648",244,4,15,1,0,0,1,5
"649",245,1,0,0,0,0,0,2
"650",245,2,450,1,1,0,0,3
"651",245,3,17,1,0,1,0,5
"652",245,4,33,1,0,0,1,4
"653",246,1,456,1,0,0,0,2
"654",246,2,0,0,1,0,0,3
"655",246,3,27,1,0,1,0,6
"656",246,4,17,1,0,0,1,5
"657",247,1,14,1,0,0,0,4
"658",247,2,478,1,1,0,0,2
"659",247,3,0,0,0,1,0,3
"660",247,4,8,1,0,0,1,5
"661",248,1,2,1,0,0,0,6
"662",248,2,465,1,1,0,0,2
"663",248,3,0,0,0,1,0,5
"664",248,4,33,1,0,0,1,3
"665",249,1,406,1,0,0,0,2
"666",249,2,83,1,1,0,0,4
"667",249,3,0,0,0,1,0,6
"668",249,4,11,1,0,0,1,5
"673",250,1,7,1,0,0,0,6
"674",250,2,86,1,1,0,0,5
"675",250,3,0,0,0,1,0,4
"676",250,4,407,1,0,0,1,3
"677",251,1,0,0,0,0,0,3
"678",251,2,32,1,1,0,0,6
"679",251,3,445,1,0,1,0,2
"680",251,4,23,1,0,0,1,4
"681",252,1,383,1,0,0,0,3
"682",252,2,0,0,1,0,0,6
"683",252,3,89,1,0,1,0,4
"684",252,4,28,1,0,0,1,5
"685",253,1,10,1,0,0,0,6
"686",253,2,454,1,1,0,0,4
"687",253,3,0,0,0,1,0,2
"688",253,4,36,1,0,0,1,5
"689",254,1,11,1,0,0,0,6
"690",254,2,0,0,1,0,0,3
"691",254,3,49,1,0,1,0,4
"692",254,4,440,1,0,0,1,2
"693",255,1,390,1,0,0,0,2
"694",255,2,53,1,1,0,0,5
"695",255,3,0,0,0,1,0,4
"696",255,4,57,1,0,0,1,3
"697",256,1,21,1,0,0,0,4
"698",256,2,0,0,1,0,0,3
"699",256,3,464,1,0,1,0,2
"700",256,4,15,1,0,0,1,5
"701",257,1,0,0,0,0,0,2
"702",257,2,111,1,1,0,0,4
"703",257,3,16,1,0,1,0,6
"704",257,4,373,1,0,0,1,3
"705",258,1,0,0,0,0,0,2
"706",258,2,75,1,1,0,0,5
"707",258,3,19,1,0,1,0,6
"708",258,4,406,1,0,0,1,3
"709",259,1,37,1,0,0,0,4
"710",259,2,50,1,1,0,0,6
"711",259,3,0,0,0,1,0,2
"712",259,4,413,1,0,0,1,3
"717",260,1,18,1,0,0,0,5
"718",260,2,0,0,1,0,0,3
"719",260,3,27,1,0,1,0,6
"720",260,4,455,1,0,0,1,2
"721",261,1,0,0,0,0,0,2
"722",261,2,48,1,1,0,0,6
"723",261,3,432,1,0,1,0,3
"724",261,4,20,1,0,0,1,5
"725",262,1,0,0,0,0,0,5
"726",262,2,454,1,1,0,0,2
"727",262,3,36,1,0,1,0,3
"728",262,4,10,1,0,0,1,4
"729",263,1,0,0,0,0,0,6
"730",263,2,454,1,1,0,0,2
"731",263,3,41,1,0,1,0,3
"732",263,4,5,1,0,0,1,4
"733",264,1,0,0,0,0,0,5
"734",264,2,449,1,1,0,0,3
"735",264,3,11,1,0,1,0,6
"736",264,4,40,1,0,0,1,4
"737",265,1,11,1,0,0,0,6
"738",265,2,0,0,1,0,0,5
"739",265,3,60,1,0,1,0,4
"740",265,4,429,1,0,0,1,2
"741",266,1,367,1,0,0,0,2
"742",266,2,129,1,1,0,0,3
"743",266,3,0,0,0,1,0,5
"744",266,4,4,1,0,0,1,6
"745",267,1,370,1,0,0,0,2
"746",267,2,122,1,1,0,0,3
"747",267,3,0,0,0,1,0,4
"748",267,4,8,1,0,0,1,6
"749",268,1,63,1,0,0,0,5
"750",268,2,0,0,1,0,0,2
"751",268,3,41,1,0,1,0,6
"752",268,4,396,1,0,0,1,4
"753",269,1,1,1,0,0,0,6
"754",269,2,462,1,1,0,0,2
"755",269,3,37,1,0,1,0,3
"756",269,4,0,0,0,0,1,5
"761",270,1,0,0,0,0,0,3
"762",270,2,480,1,1,0,0,2
"763",270,3,10,1,0,1,0,6
"764",270,4,10,1,0,0,1,4
"765",271,1,8,1,0,0,0,5
"766",271,2,490,1,1,0,0,2
"767",271,3,0,0,0,1,0,3
"768",271,4,2,1,0,0,1,6
"769",272,1,423,1,0,0,0,2
"770",272,2,63,1,1,0,0,5
"771",272,3,14,1,0,1,0,6
"772",272,4,0,0,0,0,1,4
"773",273,1,26,1,0,0,0,4
"774",273,2,0,0,1,0,0,6
"775",273,3,30,1,0,1,0,5
"776",273,4,444,1,0,0,1,2
"777",274,1,19,1,0,0,0,4
"778",274,2,43,1,1,0,0,5
"779",274,3,438,1,0,1,0,2
"780",274,4,0,0,0,0,1,6
"781",275,1,17,1,0,0,0,4
"782",275,2,65,1,1,0,0,5
"783",275,3,0,0,0,1,0,3
"784",275,4,418,1,0,0,1,2
"785",276,1,12,1,0,0,0,4
"786",276,2,92,1,1,0,0,3
"787",276,3,0,0,0,1,0,5
"788",276,4,396,1,0,0,1,2
"789",277,1,6,1,0,0,0,6
"790",277,2,98,1,1,0,0,4
"791",277,3,396,1,0,1,0,3
"792",277,4,0,0,0,0,1,5
"793",278,1,414,1,0,0,0,2
"794",278,2,51,1,1,0,0,5
"795",278,3,35,1,0,1,0,4
"796",278,4,0,0,0,0,1,3
"797",279,1,0,0,0,0,0,5
"798",279,2,45,1,1,0,0,6
"799",279,3,65,1,0,1,0,4
"800",279,4,390,1,0,0,1,3
"805",280,1,428,1,0,0,0,2
"806",280,2,60,1,1,0,0,5
"807",280,3,0,0,0,1,0,4
"808",280,4,12,1,0,0,1,6
"809",281,1,5,1,0,0,0,5
"810",281,2,487,1,1,0,0,2
"811",281,3,8,1,0,1,0,6
"812",281,4,0,0,0,0,1,4
"813",282,1,417,1,0,0,0,2
"814",282,2,72,1,1,0,0,4
"815",282,3,11,1,0,1,0,6
"816",282,4,0,0,0,0,1,5
"817",283,1,452,1,0,0,0,2
"818",283,2,0,0,1,0,0,3
"819",283,3,13,1,0,1,0,6
"820",283,4,35,1,0,0,1,4
"821",284,1,0,0,0,0,0,6
"822",284,2,445,1,1,0,0,3
"823",284,3,36,1,0,1,0,4
"824",284,4,19,1,0,0,1,5
"825",285,1,24,1,0,0,0,4
"826",285,2,45,1,1,0,0,5
"827",285,3,431,1,0,1,0,2
"828",285,4,0,0,0,0,1,3
"829",286,1,5,1,0,0,0,5
"830",286,2,463,1,1,0,0,2
"831",286,3,0,0,0,1,0,4
"832",286,4,32,1,0,0,1,3
"833",287,1,24,1,0,0,0,3
"834",287,2,466,1,1,0,0,2
"835",287,3,10,1,0,1,0,5
"836",287,4,0,0,0,0,1,6
"837",288,1,0,0,0,0,0,2
"838",288,2,111,1,1,0,0,4
"839",288,3,18,1,0,1,0,5
"840",288,4,371,1,0,0,1,3
"841",289,1,3,1,0,0,0,6
"842",289,2,0,0,1,0,0,3
"843",289,3,483,1,0,1,0,2
"844",289,4,14,1,0,0,1,5
"849",290,1,8,1,0,0,0,6
"850",290,2,67,1,1,0,0,4
"851",290,3,0,0,0,1,0,3
"852",290,4,425,1,0,0,1,2
"853",291,1,371,1,0,0,0,3
"854",291,2,117,1,1,0,0,4
"855",291,3,0,0,0,1,0,6
"856",291,4,12,1,0,0,1,5
"857",292,1,368,1,0,0,0,4
"858",292,2,60,1,1,0,0,6
"859",292,3,72,1,0,1,0,5
"860",292,4,0,0,0,0,1,2
"861",293,1,4,1,0,0,0,6
"862",293,2,96,1,1,0,0,4
"863",293,3,400,1,0,1,0,3
"864",293,4,0,0,0,0,1,2
"865",294,1,35,1,0,0,0,4
"866",294,2,40,1,1,0,0,6
"867",294,3,425,1,0,1,0,3
"868",294,4,0,0,0,0,1,5
"869",295,1,13,1,0,0,0,4
"870",295,2,486,1,1,0,0,2
"871",295,3,0,0,0,1,0,3
"872",295,4,1,1,0,0,1,6
"873",296,1,420,1,0,0,0,2
"874",296,2,53,1,1,0,0,5
"875",296,3,0,0,0,1,0,6
"876",296,4,27,1,0,0,1,4
"877",297,1,419,1,0,0,0,3
"878",297,2,48,1,1,0,0,6
"879",297,3,33,1,0,1,0,5
"880",297,4,0,0,0,0,1,4
"881",298,1,28,1,0,0,0,3
"882",298,2,70,1,1,0,0,4
"883",298,3,402,1,0,1,0,2
"884",298,4,0,0,0,0,1,6
"885",299,1,9,1,0,0,0,5
"886",299,2,102,1,1,0,0,4
"887",299,3,389,1,0,1,0,3
"888",299,4,0,0,0,0,1,2
"897",300,1,390,1,0,0,0,2
"898",300,2,39,1,1,0,0,5
"899",300,3,71,1,0,1,0,3
"900",300,4,0,0,0,0,1,4
"901",301,1,3,1,0,0,0,4
"902",301,2,483,1,1,0,0,2
"903",301,3,14,1,0,1,0,5
"904",301,4,0,0,0,0,1,3
"905",302,1,0,0,0,0,0,5
"906",302,2,30,1,1,0,0,6
"907",302,3,41,1,0,1,0,4
"908",302,4,429,1,0,0,1,2
"909",303,1,360,1,0,0,0,3
"910",303,2,79,1,1,0,0,5
"911",303,3,0,0,0,1,0,2
"912",303,4,61,1,0,0,1,4
"913",304,1,413,1,0,0,0,2
"914",304,2,42,1,1,0,0,5
"915",304,3,45,1,0,1,0,4
"916",304,4,0,0,0,0,1,3
"917",305,1,0,0,0,0,0,6
"918",305,2,454,1,1,0,0,2
"919",305,3,16,1,0,1,0,4
"920",305,4,30,1,0,0,1,3
"921",306,1,0,0,0,0,0,6
"922",306,2,57,1,1,0,0,4
"923",306,3,394,1,0,1,0,2
"924",306,4,49,1,0,0,1,3
"925",307,1,0,0,0,0,0,4
"926",307,2,485,1,1,0,0,2
"927",307,3,11,1,0,1,0,6
"928",307,4,4,1,0,0,1,5
"929",308,1,22,1,0,0,0,3
"930",308,2,468,1,1,0,0,2
"931",308,3,0,0,0,1,0,6
"932",308,4,10,1,0,0,1,4
"933",309,1,16,1,0,0,0,6
"934",309,2,0,0,1,0,0,5
"935",309,3,69,1,0,1,0,4
"936",309,4,415,1,0,0,1,3
"941",310,1,0,0,0,0,0,3
"942",310,2,45,1,1,0,0,5
"943",310,3,430,1,0,1,0,2
"944",310,4,25,1,0,0,1,4
"945",311,1,30,1,0,0,0,3
"946",311,2,460,1,1,0,0,2
"947",311,3,10,1,0,1,0,5
"948",311,4,0,0,0,0,1,6
"949",312,1,0,0,0,0,0,4
"950",312,2,447,1,1,0,0,2
"951",312,3,50,1,0,1,0,3
"952",312,4,3,1,0,0,1,6
"953",313,1,0,0,0,0,0,4
"954",313,2,91,1,1,0,0,3
"955",313,3,401,1,0,1,0,2
"956",313,4,8,1,0,0,1,6
"957",314,1,9,1,0,0,0,5
"958",314,2,109,1,1,0,0,3
"959",314,3,0,0,0,1,0,6
"960",314,4,382,1,0,0,1,2
"961",315,1,9,1,0,0,0,5
"962",315,2,452,1,1,0,0,3
"963",315,3,39,1,0,1,0,4
"964",315,4,0,0,0,0,1,2
"965",316,1,51,1,0,0,0,3
"966",316,2,0,0,1,0,0,6
"967",316,3,38,1,0,1,0,4
"968",316,4,411,1,0,0,1,2
"969",317,1,370,1,0,0,0,2
"970",317,2,110,1,1,0,0,3
"971",317,3,20,1,0,1,0,4
"972",317,4,0,0,0,0,1,5
"973",318,1,29,1,0,0,0,5
"974",318,2,0,0,1,0,0,6
"975",318,3,68,1,0,1,0,4
"976",318,4,403,1,0,0,1,3
"977",319,1,0,0,0,0,0,2
"978",319,2,57,1,1,0,0,6
"979",319,3,406,1,0,1,0,4
"980",319,4,37,1,0,0,1,5
"985",320,1,0,0,0,0,0,3
"986",320,2,62,1,1,0,0,4
"987",320,3,433,1,0,1,0,2
"988",320,4,5,1,0,0,1,5
"989",321,1,26,1,0,0,0,5
"990",321,2,55,1,1,0,0,6
"991",321,3,0,0,0,1,0,2
"992",321,4,419,1,0,0,1,3
"993",322,1,40,1,0,0,0,4
"994",322,2,0,0,1,0,0,6
"995",322,3,436,1,0,1,0,3
"996",322,4,24,1,0,0,1,5
"997",323,1,20,1,0,0,0,5
"998",323,2,464,1,1,0,0,4
"999",323,3,16,1,0,1,0,6
"1000",323,4,0,0,0,0,1,2
"1001",324,1,2,1,0,0,0,5
"1002",324,2,450,1,1,0,0,2
"1003",324,3,48,1,0,1,0,3
"1004",324,4,0,0,0,0,1,4
"1005",325,1,0,0,0,0,0,6
"1006",325,2,96,1,1,0,0,4
"1007",325,3,392,1,0,1,0,3
"1008",325,4,12,1,0,0,1,5
"1009",326,1,30,1,0,0,0,3
"1010",326,2,65,1,1,0,0,4
"1011",326,3,0,0,0,1,0,6
"1012",326,4,405,1,0,0,1,2
"1013",327,1,5,1,0,0,0,6
"1014",327,2,461,1,1,0,0,2
"1015",327,3,0,0,0,1,0,4
"1016",327,4,34,1,0,0,1,3
"1017",328,1,16,1,0,0,0,6
"1018",328,2,0,0,1,0,0,2
"1019",328,3,48,1,0,1,0,5
"1020",328,4,436,1,0,0,1,3
"1021",329,1,11,1,0,0,0,5
"1022",329,2,0,0,1,0,0,4
"1023",329,3,485,1,0,1,0,2
"1024",329,4,4,1,0,0,1,6
"1029",330,1,415,1,0,0,0,2
"1030",330,2,45,1,1,0,0,6
"1031",330,3,40,1,0,1,0,4
"1032",330,4,0,0,0,0,1,5
"1033",331,1,52,1,0,0,0,3
"1034",331,2,0,0,1,0,0,4
"1035",331,3,437,1,0,1,0,2
"1036",331,4,11,1,0,0,1,6
"1037",332,1,8,1,0,0,0,5
"1038",332,2,454,1,1,0,0,3
"1039",332,3,0,0,0,1,0,6
"1040",332,4,38,1,0,0,1,4
"1041",333,1,8,1,0,0,0,5
"1042",333,2,485,1,1,0,0,2
"1043",333,3,7,1,0,1,0,6
"1044",333,4,0,0,0,0,1,3
"1045",334,1,7,1,0,0,0,5
"1046",334,2,489,1,1,0,0,2
"1047",334,3,0,0,0,1,0,3
"1048",334,4,4,1,0,0,1,6
"1049",335,1,1,1,0,0,0,6
"1050",335,2,457,1,1,0,0,2
"1051",335,3,42,1,0,1,0,3
"1052",335,4,0,0,0,0,1,4
"1053",336,1,14,1,0,0,0,5
"1054",336,2,479,1,1,0,0,3
"1055",336,3,0,0,0,1,0,4
"1056",336,4,7,1,0,0,1,6
"1057",337,1,37,1,0,0,0,3
"1058",337,2,37,1,1,0,0,5
"1059",337,3,426,1,0,1,0,2
"1060",337,4,0,0,0,0,1,6
"1061",338,1,400,1,0,0,0,3
"1062",338,2,0,0,1,0,0,2
"1063",338,3,89,1,0,1,0,4
"1064",338,4,11,1,0,0,1,6
"1065",339,1,0,0,0,0,0,2
"1066",339,2,106,1,1,0,0,5
"1067",339,3,380,1,0,1,0,4
"1068",339,4,14,1,0,0,1,6
"1073",340,1,21,1,0,0,0,4
"1074",340,2,464,1,1,0,0,3
"1075",340,3,0,0,0,1,0,2
"1076",340,4,15,1,0,0,1,5
"1077",341,1,9,1,0,0,0,6
"1078",341,2,0,0,1,0,0,5
"1079",341,3,87,1,0,1,0,3
"1080",341,4,404,1,0,0,1,2
"1081",342,1,50,1,0,0,0,3
"1082",342,2,0,0,1,0,0,6
"1083",342,3,29,1,0,1,0,5
"1084",342,4,421,1,0,0,1,2
"1085",343,1,0,0,0,0,0,6
"1086",343,2,106,1,1,0,0,4
"1087",343,3,381,1,0,1,0,3
"1088",343,4,13,1,0,0,1,5
"1089",344,1,11,1,0,0,0,6
"1090",344,2,65,1,1,0,0,5
"1091",344,3,0,0,0,1,0,4
"1092",344,4,424,1,0,0,1,2
"1093",345,1,0,0,0,0,0,3
"1094",345,2,63,1,1,0,0,6
"1095",345,3,395,1,0,1,0,4
"1096",345,4,42,1,0,0,1,5
"1097",346,1,22,1,0,0,0,4
"1098",346,2,0,0,1,0,0,5
"1099",346,3,430,1,0,1,0,2
"1100",346,4,48,1,0,0,1,3
"1101",347,1,407,1,0,0,0,3
"1102",347,2,80,1,1,0,0,5
"1103",347,3,0,0,0,1,0,2
"1104",347,4,13,1,0,0,1,6
"1105",348,1,406,1,0,0,0,2
"1106",348,2,0,0,1,0,0,4
"1107",348,3,23,1,0,1,0,5
"1108",348,4,71,1,0,0,1,3
"1109",349,1,0,0,0,0,0,2
"1110",349,2,482,1,1,0,0,3
"1111",349,3,11,1,0,1,0,5
"1112",349,4,7,1,0,0,1,6
"1117",350,1,15,1,0,0,0,5
"1118",350,2,0,0,1,0,0,6
"1119",350,3,44,1,0,1,0,4
"1120",350,4,441,1,0,0,1,2
"1121",351,1,29,1,0,0,0,4
"1122",351,2,0,0,1,0,0,5
"1123",351,3,462,1,0,1,0,2
"1124",351,4,9,1,0,0,1,6
"1125",352,1,398,1,0,0,0,3
"1126",352,2,0,0,1,0,0,5
"1127",352,3,28,1,0,1,0,6
"1128",352,4,74,1,0,0,1,4
"1129",353,1,377,1,0,0,0,2
"1130",353,2,51,1,1,0,0,5
"1131",353,3,0,0,0,1,0,4
"1132",353,4,72,1,0,0,1,3
"1133",354,1,0,0,0,0,0,3
"1134",354,2,485,1,1,0,0,2
"1135",354,3,8,1,0,1,0,5
"1136",354,4,7,1,0,0,1,4
"1137",355,1,8,1,0,0,0,6
"1138",355,2,0,0,1,0,0,4
"1139",355,3,424,1,0,1,0,2
"1140",355,4,68,1,0,0,1,3
"1141",356,1,6,1,0,0,0,5
"1142",356,2,489,1,1,0,0,2
"1143",356,3,0,0,0,1,0,4
"1144",356,4,5,1,0,0,1,6
"1145",357,1,0,0,0,0,0,3
"1146",357,2,482,1,1,0,0,2
"1147",357,3,14,1,0,1,0,5
"1148",357,4,4,1,0,0,1,4
"1149",358,1,0,0,0,0,0,3
"1150",358,2,64,1,1,0,0,5
"1151",358,3,13,1,0,1,0,6
"1152",358,4,423,1,0,0,1,2
"1153",359,1,372,1,0,0,0,2
"1154",359,2,118,1,1,0,0,3
"1155",359,3,0,0,0,1,0,5
"1156",359,4,10,1,0,0,1,4
"1161",360,1,6,1,0,0,0,6
"1162",360,2,491,1,1,0,0,3
"1163",360,3,0,0,0,1,0,4
"1164",360,4,3,1,0,0,1,5
"1165",361,1,439,1,0,0,0,2
"1166",361,2,48,1,1,0,0,6
"1167",361,3,0,0,0,1,0,4
"1168",361,4,13,1,0,0,1,5
